date,fund,growth
2022-02-24,Combined Maximum-Sharpe (base),1.7993616204914211
2022-02-25,Combined Maximum-Sharpe (base),1.8624225933679608
2022-02-28,Combined Maximum-Sharpe (base),1.8584350220770118
2022-03-01,Combined Maximum-Sharpe (base),1.8636040163522967
2022-03-02,Combined Maximum-Sharpe (base),1.8974012294755862
2022-03-03,Combined Maximum-Sharpe (base),1.9147902312100853
2022-03-04,Combined Maximum-Sharpe (base),1.9318647255470602
2022-03-07,Combined Maximum-Sharpe (base),1.915231403168043
2022-03-08,Combined Maximum-Sharpe (base),1.8740144424624965
2022-03-09,Combined Maximum-Sharpe (base),1.8886613773426706
2022-03-10,Combined Maximum-Sharpe (base),1.9031267227134128
2022-03-11,Combined Maximum-Sharpe (base),1.889800022418395
2022-03-14,Combined Maximum-Sharpe (base),1.8708145913240286
2022-03-15,Combined Maximum-Sharpe (base),1.8811675237042684
2022-03-16,Combined Maximum-Sharpe (base),1.893479501491135
2022-03-17,Combined Maximum-Sharpe (base),1.9316058734692507
2022-03-18,Combined Maximum-Sharpe (base),1.9445901360074138
2022-03-21,Combined Maximum-Sharpe (base),1.9723051809185204
2022-03-22,Combined Maximum-Sharpe (base),1.9849809158624396
2022-03-23,Combined Maximum-Sharpe (base),1.9859703600223155
2022-03-24,Combined Maximum-Sharpe (base),2.023103403679992
2022-03-25,Combined Maximum-Sharpe (base),2.0455853188467628
2022-03-28,Combined Maximum-Sharpe (base),2.048183204508461
2022-03-29,Combined Maximum-Sharpe (base),2.068931147996762
2022-03-30,Combined Maximum-Sharpe (base),2.071807123515214
2022-03-31,Combined Maximum-Sharpe (base),2.0465039688718574
2022-04-01,Combined Maximum-Sharpe (base),2.0648027771506925
2022-04-04,Combined Maximum-Sharpe (base),2.056873177980517
2022-04-05,Combined Maximum-Sharpe (base),2.051684818205904
2022-04-06,Combined Maximum-Sharpe (base),2.085290158265958
2022-04-07,Combined Maximum-Sharpe (base),2.1175996388078246
2022-04-08,Combined Maximum-Sharpe (base),2.1297746367314834
2022-04-11,Combined Maximum-Sharpe (base),2.071687972481851
2022-04-12,Combined Maximum-Sharpe (base),2.0785906400140726
2022-04-13,Combined Maximum-Sharpe (base),2.059792386932445
2022-04-14,Combined Maximum-Sharpe (base),2.0733288979202658
2022-04-18,Combined Maximum-Sharpe (base),2.0755088540400486
2022-04-19,Combined Maximum-Sharpe (base),2.06781878710494
2022-04-20,Combined Maximum-Sharpe (base),2.079293406144492
2022-04-21,Combined Maximum-Sharpe (base),2.0466326523485923
2022-04-22,Combined Maximum-Sharpe (base),1.995156681482842
2022-04-25,Combined Maximum-Sharpe (base),1.9816418953604331
2022-04-26,Combined Maximum-Sharpe (base),1.9615239406731657
2022-04-27,Combined Maximum-Sharpe (base),1.9677015831500013
2022-04-28,Combined Maximum-Sharpe (base),2.001011383826225
2022-04-29,Combined Maximum-Sharpe (base),1.892105459368417
2022-05-02,Combined Maximum-Sharpe (base),1.8827502513749588
2022-05-03,Combined Maximum-Sharpe (base),1.8986006763161463
2022-05-04,Combined Maximum-Sharpe (base),1.9326457606763612
2022-05-05,Combined Maximum-Sharpe (base),1.8930296853626731
2022-05-06,Combined Maximum-Sharpe (base),1.8938902623146703
2022-05-09,Combined Maximum-Sharpe (base),1.7930255526802257
2022-05-10,Combined Maximum-Sharpe (base),1.7874118059418076
2022-05-11,Combined Maximum-Sharpe (base),1.7858037178042558
2022-05-12,Combined Maximum-Sharpe (base),1.795158785971105
2022-05-13,Combined Maximum-Sharpe (base),1.8270537482155047
