ticker,date,sector,n_headlines,vader_mean
AMD,2022-11-01,Tech,15,0.17270666666666665
AMD,2022-11-02,Tech,18,0.11115555555555555
AMD,2022-11-03,Tech,6,0.11631666666666667
AMD,2022-11-04,Tech,4,0.124525
AMD,2022-11-07,Tech,7,0.18734285714285712
AMD,2022-11-08,Tech,5,0.015399999999999997
AMD,2022-11-09,Tech,4,0.14985
AMD,2022-11-10,Tech,4,0.0823
AMD,2022-11-11,Tech,1,0.6705
AMD,2022-11-14,Tech,13,0.11177692307692308
AMD,2022-11-15,Tech,5,0.13988
AMD,2022-11-16,Tech,8,0.04417499999999999
AMD,2022-11-17,Tech,3,-0.09866666666666667
AMD,2022-11-18,Tech,3,0.5611
AMD,2022-11-21,Tech,5,0.19494
AMD,2022-11-22,Tech,3,0.04893333333333335
AMD,2022-11-23,Tech,3,0.0040000000000000036
AMD,2022-11-25,Tech,1,-0.296
AMD,2022-11-28,Tech,4,0.28815
AMD,2022-11-29,Tech,4,-0.04445
AMD,2022-11-30,Tech,3,0.13396666666666665
AMD,2022-12-01,Tech,6,0.37260000000000004
AMD,2022-12-02,Tech,7,0.28332857142857143
AMD,2022-12-05,Tech,4,0.385625
AMD,2022-12-06,Tech,4,0.1531
AMD,2022-12-07,Tech,6,0.23529999999999998
AMD,2022-12-08,Tech,5,0.17738
AMD,2022-12-09,Tech,1,0.0
AMD,2022-12-12,Tech,7,0.15152857142857143
AMD,2022-12-13,Tech,7,0.3088
AMD,2022-12-14,Tech,1,0.0
AMD,2022-12-15,Tech,4,-0.16215
AMD,2022-12-16,Tech,3,0.3198666666666667
AMD,2022-12-19,Tech,3,-0.03423333333333334
AMD,2022-12-20,Tech,4,0.38042499999999996
AMD,2022-12-21,Tech,5,0.15012
AMD,2022-12-22,Tech,7,-0.23248571428571432
AMD,2022-12-23,Tech,5,0.03597999999999999
AMD,2022-12-27,Tech,7,0.0028714285714285725
AMD,2022-12-28,Tech,2,-0.148
AMD,2022-12-29,Tech,3,0.40969999999999995
AMD,2022-12-30,Tech,5,-0.0035599999999999963
AMD,2023-01-03,Tech,17,0.11635882352941178
AMD,2023-01-04,Tech,5,0.02412000000000001
AMD,2023-01-05,Tech,5,0.32520000000000004
AMD,2023-01-06,Tech,4,0.538
AMD,2023-01-09,Tech,5,-0.035899999999999994
AMD,2023-01-10,Tech,6,0.23076666666666668
AMD,2023-01-11,Tech,3,0.0
AMD,2023-01-12,Tech,3,0.18200000000000002
AMD,2023-01-13,Tech,4,0.21892499999999998
AMD,2023-01-17,Tech,12,0.163625
AMD,2023-01-18,Tech,2,0.6124
